,zipcodes,income,food,essentials,IEE
63,94016,6990,2201,55,4732
64,60007,11194,1387,4272,5533
65,22031,11729,2937,7905,885
66,60007,8652,2382,366,5902
67,10024,4613,273,2155,2183
68,10024,5245,3678,820,746
69,44101,12422,8450,1904,2067
70,10024,2209,829,835,543
71,94016,9815,3521,3755,2538
72,10024,5207,1809,832,2564
73,94016,1234,319,438,475
74,22031,10353,7277,2027,1048
75,60007,8335,1800,4418,2116
76,10024,12277,3363,4582,4330
77,94016,10483,1850,4120,4511
78,44101,9015,2559,3197,3258
79,10024,1508,114,482,911
80,94016,4309,735,931,2642
81,94016,6468,2556,3024,886
82,44101,10040,5439,1877,2722
83,44101,6750,1728,2878,2143
84,22031,11160,1386,6714,3059
85,60007,11397,4433,5455,1507
86,22031,9444,4510,3788,1144
87,60007,7193,1653,3620,1919
88,60007,12404,6054,540,5809
89,60007,6358,290,3503,2564
90,60007,4198,416,1772,2008
91,44101,2530,347,613,1569
92,44101,3714,1192,871,1650
93,60007,11317,3424,1412,6480
94,10024,9771,3661,3546,2563
95,94016,7214,1570,4105,1537
96,60007,7136,1584,2762,2789
97,22031,12229,8220,1475,2532
98,22031,12395,845,4114,7435
99,94016,8136,3271,2330,2534
100,60007,10677,1309,5634,3733
101,60007,2511,919,268,1322
102,22031,10188,310,9788,88
103,94016,6930,3485,2596,848
104,44101,7111,6215,342,553
105,10024,1439,189,589,660
106,60007,3354,491,1753,1108
107,60007,4401,3088,662,649
108,60007,3115,1371,647,1095
109,44101,11009,3127,5,7875
110,44101,10739,5636,2122,2979
111,44101,5472,2108,1277,2086
112,22031,6113,521,553,5038
113,94016,2762,1984,191,586
114,94016,5886,875,3241,1769
115,10024,4860,3807,139,912
116,60007,11388,1763,5701,3923
117,60007,7942,2558,4546,837
118,10024,1475,705,356,413
119,44101,3449,769,860,1819
120,44101,9596,1824,2539,5232
121,10024,5912,3159,2058,693
122,22031,10548,4273,4977,1297
123,22031,10079,4686,4475,917
124,94016,8768,2446,3334,2986
125,10024,11602,1264,10271,65
126,60007,9152,608,7435,1108
127,10024,9556,351,4843,4361
128,22031,2354,534,1405,413
129,60007,5179,3305,255,1618
130,10024,4239,1300,1147,1790
131,10024,2481,763,1236,481
132,60007,7699,797,102,6799
133,10024,8409,1805,3540,3062
134,10024,9930,8537,79,1313
135,10024,10499,1436,6030,3032
136,60007,10212,3417,1315,5479
137,22031,9690,808,3320,5560
138,44101,6561,1867,2301,2392
139,22031,3638,1581,573,1482
140,10024,10750,4190,2405,4154
141,22031,1693,687,76,928
142,22031,4158,2172,139,1845
143,44101,11552,8419,2882,249
144,94016,7357,4294,2301,761
145,44101,11066,5478,3947,1639
146,44101,2678,329,1271,1076
147,10024,7898,1569,1257,5070
148,60007,1090,279,431,379
149,60007,8010,2826,2050,3132
150,60007,2206,854,576,775
151,10024,2164,863,954,346
152,94016,8244,5449,108,2685
153,44101,5180,1685,2626,868
154,10024,9028,3999,4744,283
155,22031,3352,1227,1763,361
156,44101,4899,3388,1367,143
157,60007,1829,795,646,387
158,22031,10488,4615,2719,3152
159,10024,5820,54,1862,3903
160,94016,6103,478,4113,1511
161,44101,5571,1792,1460,2317
162,10024,6284,2144,1593,2546
163,10024,9613,1810,4273,3529
164,60007,10545,4651,4497,1395
165,10024,5677,2369,582,2725
166,94016,5976,2178,2227,1570
167,44101,1113,150,27,935
168,44101,6230,2668,2368,1192
169,44101,6630,1210,2422,2996
170,44101,3352,352,6,2993
171,94016,6910,2424,2795,1690
172,94016,10646,4683,1674,4287
173,60007,5424,1784,2040,1599
174,94016,7674,2613,2084,2976
175,44101,5998,3360,162,2475
176,60007,11876,6716,2754,2405
177,10024,1003,262,322,417
178,22031,8935,5030,2849,1054
179,60007,2245,1556,280,407
180,10024,7993,3638,3286,1067
181,44101,11838,5289,2680,3868
182,94016,10464,4733,4084,1645
183,44101,4448,1969,1594,883
184,10024,3954,1673,811,1468
185,10024,11285,6565,1525,3194
186,44101,11502,3993,6242,1265
187,44101,11712,4517,762,6431
188,44101,6183,1449,2460,2273
189,10024,8593,617,1839,6135
190,60007,6744,597,3665,2481
191,44101,3881,1485,45,2350
192,60007,10718,4336,2563,3817
193,60007,3650,1733,593,1322
194,10024,12247,3921,2214,6111
195,44101,9618,2833,2848,3935
196,60007,6592,644,5021,925
197,10024,3325,1543,678,1102
198,22031,2887,1906,540,440
199,44101,2541,1122,830,587
200,60007,4340,2230,207,1901
201,94016,3764,639,1379,1744
202,10024,9833,930,2890,6011
203,22031,1901,276,450,1174
204,10024,8570,4736,550,3283
205,94016,1452,239,1100,112
206,60007,11151,7291,2994,864
207,10024,7049,2404,4488,155
208,94016,7246,2979,817,3448
209,94016,4130,2316,646,1166
210,22031,10772,4906,929,4936
211,60007,12363,7306,440,4615
212,60007,8092,3385,3247,1458
213,22031,5499,105,2321,3071
214,44101,7399,2797,1255,3345
215,22031,4633,1474,1816,1341
216,44101,6913,19,6493,400
217,22031,1151,249,359,541
218,60007,5069,1149,1224,2694
219,94016,12286,4806,3102,4376
220,22031,5483,791,1623,3068
221,94016,5348,422,1201,3724
222,44101,6084,175,2412,3495
223,94016,12206,3143,7248,1814
224,22031,6043,1550,988,3503
225,44101,1993,796,240,956
226,10024,12255,4080,4414,3760
227,22031,2720,922,941,856
228,94016,9297,1574,5280,2441
229,22031,3803,220,2272,1309
230,44101,3729,589,962,2176
231,60007,3277,327,1421,1528
232,10024,1985,832,502,649
233,22031,9928,3698,4488,1741
234,22031,4394,2765,1326,302
235,94016,8518,6327,1448,741
236,94016,2550,901,665,983
237,10024,2916,1230,484,1201
238,44101,8504,2961,3538,2004
239,44101,4942,1974,2379,587
240,60007,5593,2798,303,2490
241,10024,11961,2376,6365,3219
242,10024,3714,1159,937,1617
243,60007,2495,1204,29,1260
244,60007,11229,6333,1375,3519
245,10024,6295,2583,1204,2507
246,60007,4212,537,1040,2633
247,94016,9189,3182,3000,3006
248,44101,10747,2373,1291,7081
249,94016,4816,2764,1695,355
250,44101,1054,277,390,385
251,94016,6698,2089,1908,2700
252,94016,11349,7652,1226,2470
253,44101,2217,221,787,1207
254,94016,4690,1350,2534,804
255,22031,3323,1636,1028,657
256,60007,5613,2124,1450,2038
257,22031,8208,3580,1547,3080
258,22031,1890,1174,620,95
259,94016,1252,393,596,261
260,94016,10858,1273,4886,4698
261,44101,6570,451,5942,176
262,22031,10797,6708,1887,2200
263,60007,1272,608,180,482
264,22031,11001,2037,5156,3806
265,94016,9757,7476,1727,553
266,22031,1821,1030,418,371
267,22031,4324,1523,815,1984
268,22031,11791,3128,2859,5803
269,60007,10283,334,3448,6499
270,44101,8836,2992,4587,1256
271,10024,1359,215,387,756
272,60007,2933,386,1372,1174
273,22031,7478,3298,1389,2790
274,10024,8891,7036,444,1410
275,60007,4048,1326,1626,1095
276,22031,1237,255,946,34
277,22031,12002,5488,3885,2628
278,94016,1344,197,805,341
279,94016,4157,1702,868,1586
280,10024,11656,549,6157,4949
281,44101,3067,1259,1049,757
282,60007,6294,4135,1403,755
283,60007,11204,2855,3959,4389
284,44101,3123,1124,1187,810
285,10024,12229,5032,4525,2671
286,44101,10809,4924,1321,4563
287,10024,4471,34,3725,710
288,94016,2807,1692,274,839
289,60007,11024,2208,8774,40
290,22031,8945,3490,2789,2665
291,94016,1244,502,149,592
292,94016,2351,906,973,471
293,60007,7109,1622,3889,1596
294,22031,3705,851,1631,1222
295,10024,11017,6572,1314,3130
296,22031,10098,901,6467,2728
297,60007,5512,2972,1101,1438
298,60007,7269,2681,1542,3044
299,60007,6196,3557,869,1769
300,22031,10417,5278,2465,2673
301,94016,4337,1580,1320,1436
302,10024,9285,1058,5846,2379
303,94016,4929,1870,1371,1686
304,22031,1224,252,760,210
305,94016,10486,4024,6012,448
306,22031,7672,1780,4556,1334
307,94016,9373,666,5451,3255
308,44101,2771,389,1216,1165
309,10024,6545,2558,3051,934
310,10024,7253,1635,2298,3319
311,10024,11050,7175,251,3622
312,94016,6083,1266,1212,3604
313,44101,9329,1180,3107,5041
314,22031,10523,3804,3271,3446
315,22031,7058,3609,2687,760
316,22031,11528,3931,3832,3763
317,60007,12162,20,8552,3589
318,10024,10190,2486,1422,6281
319,94016,11270,3239,3010,5019
320,22031,12374,3151,3129,6093
321,22031,2684,1507,763,413
322,44101,2906,177,2268,460
323,10024,12378,3104,3260,6013
324,22031,3373,1394,780,1198
325,10024,9931,2105,3547,4277
326,94016,7393,935,2580,3876
327,10024,1013,466,492,53
328,22031,3988,871,1759,1357
329,22031,3704,732,1636,1334
330,94016,7763,824,5167,1770
331,60007,10076,1030,4320,4724
332,94016,3577,1431,1463,682
333,94016,2501,141,1499,859
334,10024,8722,3030,1180,4511
335,94016,11060,2261,3614,5184
336,44101,8208,3065,4962,180
337,60007,3004,1174,1361,468
338,10024,2647,1023,1017,606
339,44101,5645,1812,1898,1934
340,60007,2334,819,994,520
341,44101,4107,2080,1723,303
342,10024,2681,244,1038,1398
343,10024,2370,904,442,1023
344,44101,7687,1418,5050,1217
345,44101,11184,1443,6078,3662
346,10024,1676,1010,415,249
347,10024,7512,3044,1219,3248
348,60007,5870,2186,1671,2012
349,94016,2380,998,1313,68
350,22031,3265,1039,1344,880
351,22031,3020,892,1601,526
352,94016,6306,1646,2008,2651
353,10024,12131,6112,3997,2021
354,94016,4981,1948,1658,1374
355,22031,11937,1435,6645,3855
356,60007,8819,998,4126,3693
357,44101,7418,2905,2161,2351
358,60007,5032,1473,1389,2168
359,44101,1480,452,500,526
360,22031,7332,2445,2473,2413
361,10024,10113,4013,3519,2580
362,22031,3550,2321,679,548
363,44101,6448,4129,992,1325
364,10024,9419,4303,497,4618
365,22031,6908,2974,1558,2375
366,10024,10109,2933,3010,4165
367,10024,5882,724,1805,3352
368,10024,5784,3541,1379,862
369,60007,10021,2414,5059,2547
370,60007,10305,4394,3755,2154
371,22031,6262,2291,3683,287
372,44101,11440,1893,4916,4630
373,22031,4944,658,2843,1441
374,10024,10608,1143,6722,2742
375,44101,2668,1047,855,765
376,94016,2856,1203,1632,20
377,44101,10662,926,3941,5793
378,10024,9036,3398,1546,4090
379,22031,9407,4522,1726,3158
380,10024,9636,122,4548,4964
381,44101,5570,1629,2473,1467
382,10024,7664,2273,1163,4226
383,10024,7814,5685,1388,740
384,10024,4888,1144,1902,1840
385,10024,12350,73,2386,9890
386,22031,1847,247,551,1047
387,60007,9235,2623,2730,3881
388,22031,10314,4221,4808,1283
389,44101,10740,3729,6868,141
390,60007,2434,396,888,1149
391,22031,10890,3945,2282,4661
392,10024,9639,4403,677,4558
393,10024,5008,2214,1395,1397
394,22031,10281,2535,2809,4935
395,60007,10081,2859,1115,6105
396,94016,6717,4647,998,1070
397,94016,3980,1054,2576,348
398,22031,2737,1296,842,598
399,44101,8594,3688,446,4458
400,60007,4336,1093,2423,819
401,44101,7814,1389,3495,2929
402,44101,11758,5006,6750,0
403,10024,11849,3666,4122,4059
404,10024,5281,2045,461,2774
405,60007,4905,638,688,3578
406,94016,9527,3963,2261,3302
407,94016,9109,2153,1596,5358
408,44101,7157,606,2677,3872
409,60007,12072,3941,4010,4120
410,10024,2951,797,1284,868
411,22031,7234,4301,195,2737
412,10024,12062,2430,6275,3356
413,44101,11948,4371,5123,2453
414,94016,7677,3277,4044,355
415,94016,5158,2196,2252,708
416,60007,10561,4847,1629,4084
417,22031,2767,1240,715,811
418,22031,5455,4275,39,1139
419,10024,10342,8370,1817,154
420,60007,8335,2006,6026,301
421,60007,10233,1544,4738,3949
422,22031,8695,4154,1296,3243
423,60007,4928,2053,1475,1399
424,22031,1111,198,240,671
425,22031,2180,480,857,842
426,44101,11597,4828,3285,3482
427,10024,10970,2226,4661,4081
428,44101,8449,3355,2999,2093
429,44101,9747,2202,3911,3632
430,10024,1627,49,674,903
431,22031,3214,58,957,2198
432,94016,12319,1935,4386,5996
433,10024,12422,448,2714,9259
434,44101,2742,1006,1032,702
435,10024,4614,1815,1528,1270
436,44101,3635,1223,1346,1065
437,60007,3603,1087,803,1711
438,44101,11750,4657,4700,2392
439,10024,1622,354,1040,226
440,22031,10990,2062,4684,4243
441,10024,8507,386,7284,835
442,10024,9320,7345,1616,358
443,10024,4997,2985,498,1513
444,94016,8116,3172,196,4746
445,94016,9820,1309,3266,5243
446,44101,4026,3239,708,77
447,44101,8314,342,2860,5111
448,60007,10050,1877,7038,1133
449,44101,10784,1642,4537,4603
450,22031,6713,1697,4125,889
451,44101,8420,1702,4530,2186
452,22031,10069,1470,3173,5425
453,22031,1285,722,365,196
454,94016,1553,256,396,900
455,94016,4471,1519,1398,1553
456,94016,4665,137,3254,1272
457,44101,11603,3861,1392,6348
458,22031,10463,2395,6679,1387
459,60007,9829,2754,3424,3649
460,44101,5185,4065,634,484
461,10024,9196,655,4692,3848
462,94016,7887,2739,2340,2806
463,94016,1690,166,818,704
464,22031,3786,1550,930,1305
465,60007,7038,3546,2395,1096
466,94016,6807,3766,2874,165
467,44101,3297,1420,499,1376
468,94016,5666,1120,2371,2173
469,10024,6602,2985,2250,1365
470,10024,1793,744,364,684
471,94016,4424,1936,2110,377
472,22031,5002,1664,698,2639
473,10024,5997,1546,1572,2877
474,10024,8272,2367,2571,3332
475,60007,2387,1421,728,237
476,60007,4322,2756,771,794
477,22031,8060,5563,463,2033
478,10024,4554,292,3052,1208
479,22031,3941,1151,917,1872
480,10024,9010,4688,3651,670
481,60007,3937,1860,693,1382
482,44101,6048,2834,1853,1360
483,94016,8360,3145,3430,1783
484,22031,8603,1225,2354,5023
485,22031,10726,1912,4420,4393
486,10024,1507,651,145,709
487,10024,8120,1929,3966,2223
488,10024,6952,1113,852,4985
489,10024,7739,2972,1963,2802
490,10024,12459,5567,1535,5355
491,94016,9078,4308,775,3993
492,94016,2285,1570,479,235
493,94016,11650,6479,2398,2772
494,60007,12274,1495,6236,4541
495,22031,11762,4157,3864,3740
496,60007,10090,3244,2823,4021
497,22031,6031,2636,2852,542
498,44101,9634,4258,1613,3761
499,44101,4012,222,1888,1901
500,22031,12128,682,8046,3398
501,10024,11060,452,8070,2537
502,44101,4838,1306,2297,1234
503,94016,5005,1747,1768,1489
504,94016,10836,4837,1777,4221
505,10024,3239,1520,552,1166
506,10024,4048,155,2677,1215
507,60007,1355,828,369,156
508,10024,4836,1287,2794,753
509,60007,3317,3,2367,945
510,44101,4450,1475,878,2096
511,22031,2793,1321,316,1155
512,10024,4660,286,2399,1974
513,22031,2137,782,218,1135
514,22031,7454,5157,357,1938
515,94016,7744,4259,1008,2475
516,60007,7595,3623,865,3106
517,94016,11050,5662,3725,1661
518,10024,9579,4873,3752,953
519,60007,1483,538,471,473
520,22031,11377,265,5717,5394
521,22031,2089,233,846,1008
522,44101,2342,535,1402,403
523,60007,12237,4952,4022,3262
524,94016,12062,418,5825,5818
525,94016,6255,2649,2814,790
526,94016,4612,2091,60,2460
527,10024,5863,2932,511,2419
528,10024,6740,1986,2882,1870
529,44101,1991,711,689,589
530,94016,4655,896,1703,2055
531,44101,5465,3450,985,1028
532,60007,7924,2472,2653,2797
533,44101,4597,1901,2649,46
534,44101,3241,1096,1738,405
535,10024,7465,6434,230,800
536,10024,1423,954,374,93
537,94016,5531,1684,2743,1103
538,44101,9051,4188,2523,2339
539,10024,5420,926,3592,901
540,44101,10971,5025,1578,4367
541,44101,2827,441,1064,1321
542,94016,9001,4851,3011,1137
543,44101,2035,836,425,773
544,10024,2950,360,1263,1325
545,94016,1559,103,1089,365
546,10024,11663,8048,1558,2055
547,22031,3561,1100,1335,1124
548,60007,10057,3882,5495,679
549,94016,10749,1021,9489,237
550,60007,11870,4401,1995,5473
551,22031,9211,1689,3198,4323
552,94016,5580,2973,997,1608
553,94016,1130,501,145,483
554,10024,6521,4397,6,2116
555,44101,3353,952,560,1839
556,94016,4730,1679,2418,631
557,60007,11474,4665,2404,4403
558,10024,1421,812,404,203
559,94016,3187,2111,220,855
560,10024,10665,30,5601,5032
561,44101,6441,2229,1018,3192
562,94016,2709,1306,30,1371
563,22031,2062,776,300,984
564,44101,7893,4071,2123,1698
565,10024,9362,1101,7968,291
566,60007,8435,2038,1924,4472
567,44101,11708,6577,470,4659
568,94016,4814,1955,1394,1463
569,44101,7676,4834,2274,567
570,60007,8756,2595,2281,3878
571,10024,7597,3053,3482,1061
572,60007,7103,112,1959,5031
573,44101,1139,270,378,490
574,10024,2279,1015,684,578
575,22031,4424,1894,638,1890
576,44101,3077,649,377,2049
577,44101,10820,1616,4176,5026
578,94016,6836,173,4307,2355
579,10024,4682,314,3371,995
580,94016,11642,6590,3560,1491
581,22031,11326,7080,1686,2558
582,22031,3056,512,808,1734
583,60007,3219,1956,582,680
584,22031,9255,321,4076,4856
585,60007,9920,3556,2198,4165
586,44101,6556,4006,265,2284
587,44101,2641,1032,1160,448
588,60007,8706,5301,142,3261
589,22031,10440,4176,2664,3598
590,10024,7022,2117,1630,3274
591,22031,8308,3179,2722,2405
592,10024,11690,6649,3747,1293
593,44101,11949,5013,2591,4344
594,10024,5160,1938,994,2226
595,10024,11430,4781,5021,1627
596,44101,8146,2770,334,5040
597,22031,12243,6387,5355,499
598,22031,10352,5877,4177,297
599,10024,9869,6042,693,3133
600,10024,6267,4227,1444,594
601,44101,12019,91,5910,6017
602,60007,10417,2856,3134,4425
603,10024,12466,5424,6478,563
604,94016,1765,1160,179,424
605,94016,1565,385,601,578
606,44101,3645,285,455,2904
607,60007,12453,4949,5161,2342
608,44101,1948,355,342,1250
609,10024,4207,1871,1833,502
610,44101,10531,3437,6620,472
611,10024,11024,4554,3621,2848
612,10024,2234,931,933,368
613,94016,8884,3010,3040,2833
614,22031,6464,1119,4102,1242
615,60007,3736,431,1452,1851
616,60007,1850,2,220,1626
617,44101,5517,85,5010,421
618,44101,3076,1207,453,1414
619,60007,1943,1172,651,118
620,44101,10395,6206,1057,3131
621,44101,3929,289,2574,1064
622,44101,2340,845,825,668
623,22031,7638,458,5884,1294
624,60007,11825,3480,4974,3369
625,44101,5989,2414,1124,2450
626,22031,1835,291,835,708
627,10024,8416,1974,5241,1199
628,44101,2599,612,1120,866
629,60007,3909,1525,1213,1169
630,44101,8638,1961,6117,558
631,22031,6129,1838,2853,1437
632,60007,7654,2523,2998,2132
633,10024,7506,1262,1497,4745
634,10024,3699,1269,838,1591
635,94016,10465,7779,2047,637
636,22031,3277,1420,446,1409
637,22031,2506,67,1369,1068
638,44101,9077,1708,3159,4208
639,94016,6017,1915,1847,2253
640,60007,5170,939,2316,1914
641,94016,3603,2045,1011,545
642,94016,4312,1106,700,2504
643,94016,7863,2757,3621,1484
644,60007,4498,1144,1669,1684
645,22031,7998,1088,1621,5288
646,44101,2561,1210,989,361
647,94016,1651,658,361,631
648,94016,7219,928,2536,3753
649,10024,2436,1761,430,243
650,94016,11500,2855,4681,3962
651,44101,4344,1837,98,2408
652,44101,8358,3648,457,4251
653,10024,9518,3474,2774,3268
654,94016,11790,1449,3775,6565
655,44101,2536,1173,908,453
656,94016,4067,743,397,2926
657,10024,1479,552,530,395
658,22031,9831,1803,4175,3852
659,60007,2520,1201,773,545
660,60007,12153,3526,5051,3575
661,94016,9539,6288,1894,1355
662,22031,4945,2366,856,1721
663,44101,3774,1697,1331,745
664,44101,2578,33,1259,1284
665,44101,5714,1402,3075,1236
666,22031,4404,2201,1485,717
667,22031,8492,3239,4515,736
668,10024,8057,4142,2311,1602
669,94016,9578,492,6071,3013
670,60007,3151,2042,749,359
671,44101,5363,835,4037,490
672,60007,4341,2203,425,1711
673,10024,8679,3105,2419,3153
674,60007,6881,3104,1070,2705
675,44101,6852,1607,4230,1013
676,10024,11397,3028,4560,3808
677,10024,9792,81,7088,2621
678,10024,6885,3266,1067,2550
679,94016,3162,448,2075,638
680,10024,2508,2069,250,188
681,94016,8763,707,3426,4629
682,94016,5058,1157,3568,332
683,22031,8457,1691,4990,1775
684,60007,8468,2930,4546,990
685,10024,6698,3438,183,3076
686,10024,10008,4638,2605,2763
687,10024,6664,3412,295,2955
688,94016,8818,537,5929,2351
689,10024,11505,2055,4417,5031
690,22031,11360,2675,3052,5631
691,22031,2964,1347,1551,65
692,60007,3531,111,1730,1689
693,22031,4967,2953,1107,906
694,94016,11961,9027,1677,1256
695,22031,2737,893,404,1439
696,60007,11765,2315,5390,4058
697,10024,11062,51,4893,6116
698,94016,5034,687,1722,2624
699,60007,10450,4884,2799,2765
700,22031,4777,1154,2889,732
701,22031,4355,1328,1657,1369
702,22031,11660,3737,3948,3974
703,94016,2992,1192,485,1314
704,22031,8080,3742,3771,566
705,22031,7266,3361,3847,56
706,22031,3448,1029,1656,762
707,10024,9179,4751,3918,509
708,60007,7839,2568,2130,3140
709,44101,7502,2036,1721,3744
710,44101,8067,2951,1600,3515
711,60007,3268,1562,859,846
712,10024,10097,4087,1860,4148
713,22031,6325,2108,2814,1402
714,94016,3839,834,1771,1233
715,44101,2370,986,120,1263
716,94016,9055,2288,3484,3282
717,44101,5050,964,1991,2093
718,94016,9351,64,6706,2580
719,60007,6653,1428,3263,1960
720,94016,7768,2680,3810,1276
721,44101,3749,1363,1212,1172
722,22031,9492,4413,4276,802
723,22031,9956,1580,4209,4166
724,60007,9690,2366,3489,3834
725,44101,2056,352,930,772
726,60007,11887,7771,3286,828
727,44101,7233,4097,3027,108
728,22031,10409,3257,5740,1411
729,22031,2957,1301,1327,327
730,94016,12204,6470,4406,1326
731,60007,3929,837,1835,1255
732,22031,5945,742,2844,2357
733,10024,5065,2546,2336,182
734,94016,4890,1663,1346,1879
735,22031,5666,1902,1433,2329
736,44101,8221,1802,3271,3147
737,60007,4750,1770,1600,1379
738,22031,6793,2499,872,3421
739,94016,11061,970,5938,4151
740,44101,8647,5936,2036,674
741,22031,2728,2108,11,608
742,60007,1302,376,392,533
743,94016,9058,3473,2845,2738
744,10024,8095,3762,791,3541
745,44101,10057,2739,3868,3449
746,44101,12159,4841,985,6332
747,10024,2156,758,713,683
748,10024,4708,2584,244,1878
749,44101,1088,95,529,463
750,22031,3829,1271,559,1997
751,22031,11385,4521,787,6076
752,94016,5606,1641,773,3190
753,60007,8999,2564,6434,0
754,94016,7441,2317,3407,1716
755,10024,5669,3563,1797,307
756,44101,12103,5159,5511,1431
757,94016,1681,1157,98,424
758,22031,2192,412,924,854
759,10024,1101,588,5,507
760,60007,6729,2019,1659,3050
761,44101,4720,1191,1945,1582
762,22031,7913,3024,3003,1884
763,10024,4970,768,1980,2220
764,60007,7146,5234,1387,524
765,94016,1585,521,836,226
766,44101,2808,479,900,1428
767,44101,9962,5515,2214,2232
768,22031,1763,410,378,974
769,10024,12352,5496,4606,2248
770,10024,2761,1423,997,340
771,22031,4355,1251,104,2998
772,22031,1320,667,407,245
773,44101,9350,612,1701,7035
774,10024,8817,956,6053,1806
775,22031,5881,1777,2442,1660
776,94016,12074,2553,5126,4394
777,44101,9450,5144,2167,2138
778,10024,7072,3445,1507,2118
779,22031,9093,5618,2978,495
780,10024,4964,3980,147,836
781,94016,9926,2222,3823,3879
782,94016,10229,6417,1894,1917
783,44101,8631,1320,3805,3504
784,44101,7577,4467,771,2337
785,44101,2927,817,1395,714
786,10024,2131,498,744,887
787,60007,3218,285,1854,1077
788,10024,12197,4729,6142,1325
789,10024,10734,4078,1731,4923
790,22031,2444,846,522,1075
791,22031,10746,3991,3401,3352
792,94016,9465,349,2369,6746
793,94016,1375,412,467,495
794,60007,10827,7458,605,2762
795,60007,3019,1082,1323,613
796,44101,9459,1140,3443,4875
797,60007,4340,280,1922,2137
798,22031,2270,768,480,1021
799,60007,9298,3236,5794,267
800,60007,3549,2809,476,262
801,94016,5294,1812,1603,1877
802,44101,2194,486,825,882
803,22031,10015,3305,2990,3718
804,60007,10761,3386,4063,3310
805,60007,11438,3207,4555,3674
806,94016,2633,1155,457,1019
807,10024,5399,993,2171,2234
808,60007,1576,359,651,565
809,10024,8481,2819,512,5149
810,44101,11857,132,5803,5920
811,10024,2505,819,1589,96
812,22031,7240,6056,347,835
813,22031,7782,4638,1948,1194
814,44101,1250,160,235,854
815,44101,8237,2880,1674,3681
816,10024,11690,5960,4778,951
817,22031,10622,81,5867,4672
818,94016,1553,1202,264,86
819,60007,4242,1331,1663,1246
820,94016,8701,3158,941,4601
821,44101,9876,4019,695,5161
822,22031,11588,4924,3483,3180
823,60007,11814,2127,8517,1169
824,10024,1331,54,417,859
825,10024,8302,1844,4287,2169
826,22031,7866,1422,3645,2798
827,10024,3101,1005,464,1631
828,60007,6393,778,2879,2735
829,44101,5761,2619,1620,1521
830,10024,3738,318,777,2641
831,60007,3192,298,1957,935
832,60007,2851,2273,419,157
833,10024,4876,2548,1529,798
834,60007,9025,1632,4388,3003
835,44101,2575,452,1304,818
836,94016,6569,749,2709,3109
837,22031,2463,105,1513,844
838,22031,5195,2361,1741,1092
839,10024,9489,6850,53,2584
840,44101,10060,2384,3765,3909
841,44101,9252,1529,1442,6279
842,22031,8700,5042,2830,827
843,10024,4313,202,690,3420
844,94016,3890,442,1659,1788
845,94016,7607,891,5594,1120
846,94016,6678,2402,2801,1474
847,94016,7418,2804,1674,2939
848,10024,11776,5254,4378,2143
849,44101,7940,3721,3673,544
850,60007,1699,337,858,502
851,60007,7684,1920,2305,3457
852,94016,8910,3425,1351,4132
853,22031,5442,636,2330,2475
854,10024,11612,3155,2527,5929
855,94016,10124,1912,1175,7035
856,22031,2409,568,763,1077
857,44101,5987,2139,183,3663
858,22031,10220,3565,2626,4028
859,60007,2881,1261,987,631
860,44101,2419,900,229,1289
861,44101,2056,895,843,316
862,94016,3976,45,1364,2566
863,60007,3427,678,1028,1720
864,60007,5712,2276,1093,2342
865,44101,4008,169,1255,2583
866,22031,6427,2673,3542,210
